Date,Race_Num,Track_Type,Weather,Dist,Condition,Track_Record,Final_Time,Last_Race,Past_Race,Past_Track,Past_Pos,Pgm,H_Name,J_Name,Wgt,M/E,PP,Fin,Dist_Ahead,Odds,Fav,Comments,
01/01/2017,1,Inner,Clear,1310,Fast,1:07.93,1:14.18,FR,FR,FR,FR,5,Planet Trailblazer,Maragh/Rajiv,121,Lb,5,1,1.25,14.20,N,greenly_4w+_up_late,
01/01/2017,1,Inner,Clear,1310,Fast,1:07.93,1:14.18,3Dec16,1,AQU,3,6,Dhamaan,Davis/Dylan,121,L,6,2,4,5.50,N,5-6w_uppr+_led+_caught,
01/01/2017,1,Inner,Clear,1310,Fast,1:07.93,1:14.18,29Sep16,5,BEL,2,7,Enduring Warrior,Velasquez/Cornelio,121,Lbf,7,3,1.25,0.90,Y,4w_upper+_wknd_late,
01/01/2017,1,Inner,Clear,1310,Fast,1:07.93,1:14.18,11Nov16,6,AQU,4,4,Cornedbeefncabbage,Gallardo/Antonio,121,Lf,4,4,1,26.00,N,bobbled+_steadied_st,
01/01/2017,1,Inner,Clear,1310,Fast,1:07.93,1:14.18,3Dec16,2,DMR,3,3,Storm the Shore,Arroyo/Angel,121,Lb,3,5,2.25,4.10,N,veered_out_st+_wknd,
01/01/2017,1,Inner,Clear,1310,Fast,1:07.93,1:14.18,30Nov16,5,WO,4,2,Gasconade,Carmouche/Kendrick,121,Lbf,2,6,2.5,5.30,N,hustled_st+_tired,
01/01/2017,1,Inner,Clear,1310,Fast,1:07.93,1:14.18,FR,FR,FR,FR,1,Born to Run,Garcia/Alan,121,Lf,1,7,Last,16.10,N,5-6w_upper+_tired,
01/01/2017,2,Inner,Clear,1310,Fast,1:07.93,1:11.79,30Nov16,7,AQU,3,5,Palladian Bridge,Franco/Manuel,123,Lf,5,1,4.25,3.95,N,3w+_rated_to_3/16pl,
01/01/2017,2,Inner,Clear,1310,Fast,1:07.93,1:11.79,8Dec16,6,AQU,5,1,Ranger Lady,Hernandez/Harry,123,L,1,2,4.75,3.40,N,2w+ask_1/4+vie_to_1/16,
01/01/2017,2,Inner,Clear,1310,Fast,1:07.93,1:11.79,4Dec16,8,AQU,5,4,Daring Prospect,Ortiz/Jr./Irad,121,L,4,3,0.5,3.50,N,out_bit_st+ins_to_1/16,
01/01/2017,2,Inner,Clear,1310,Fast,1:07.93,1:11.79,8Dec16,6,AQU,2,7,Double Dose,Velasquez/Cornelio,121,Lb,7,4,5.5,2.85,Y,broke_out+3w+no_kick,
01/01/2017,2,Inner,Clear,1310,Fast,1:07.93,1:11.79,8Dec16,6,AQU,3,6,Madame Barbarian,Arroyo/Angel,121,L,6,5,1,16.70,N,3w_&_drive_past_3/8,
01/01/2017,2,Inner,Clear,1310,Fast,1:07.93,1:11.79,11Nov16,10,CD,4,2,Majestic Island,Gallardo/Antonio,121,Lf,2,6,0.75,8.40,N,stumbled_badly_brk+2w,
01/01/2017,2,Inner,Clear,1310,Fast,1:07.93,1:11.79,11Dec16,3,AQU,5,3,Arch Or Nothing,Maragh/Rajiv,121,Lbf,3,7,Last,7.10,N,saved_ground_no_avail,
01/01/2017,3,Inner,Clear,1310,Fast,1:07.93,1:12.08,24Nov16,1,AQU,2,3,Caledonian,Cancel/Eric,116,L,3,1,Neck,3.25,N,bobbled_st+_up_late_on,
01/01/2017,3,Inner,Clear,1310,Fast,1:07.93,1:12.08,24Nov16,1,AQU,1,2,Always a Suspect,Carmouche/Kendrick,117,Lb,2,2,6.5,1.60,Y,4-3w_upper+_nailed,
01/01/2017,3,Inner,Clear,1310,Fast,1:07.93,1:12.08,24Sep16,1,MTH,1,5,Butch Walker,Acosta/J.,116,L,5,3,Neck,4.60,N,lost_footing_st+3w_upp,
01/01/2017,3,Inner,Clear,1310,Fast,1:07.93,1:12.08,12Dec16,6,PRX,1,1,Cape Lookout,Velasquez/Cornelio,118,Lb,1,4,4.5,2.85,N,stumbled_st+_weakened,
01/01/2017,3,Inner,Clear,1310,Fast,1:07.93,1:12.08,24Nov16,1,AQU,5,4,Mabrouk,Ortiz/Jr./Irad,116,Lb,4,5,Last,6.40,N,2w_1/4p+_tired,
01/01/2017,4,Inner,Clear,1310,Fast,1:07.93,1:12.64,11Dec16,1,AQU,4,2,Ransom Note,Velasquez/Cornelio,121,L,2,1,1,1.75,Y,ins_duo5/16-1/8+dug_in,
01/01/2017,4,Inner,Clear,1310,Fast,1:07.93,1:12.64,30Nov16,3,AQU,2,6,Read the Dream,Ortiz/Jr./Irad,121,Lb,6,2,3.25,5.30,N,2w+btwn_foe_5/161/8,
01/01/2017,4,Inner,Clear,1310,Fast,1:07.93,1:12.64,11Dec16,1,AQU,3,1,Altesino,Maragh/Rajiv,121,Lb,1,3,2.5,3.30,N,pocket+3w_upr+empty,
01/01/2017,4,Inner,Clear,1310,Fast,1:07.93,1:12.64,11Dec16,1,AQU,2,8,Chosen One Elijah,Davis/Jacqueline,121,Lb,8,4,0.75,18.60,N,3w_bid_5/161/8+flat,
01/01/2017,4,Inner,Clear,1310,Fast,1:07.93,1:12.64,2Dec16,5,AQU,3,7,Light the Vow,Arroyo/Angel,121,Lb,7,5,2.5,3.55,N,3w_1/2+6w_upr+no_bids,
01/01/2017,4,Inner,Clear,1310,Fast,1:07.93,1:12.64,2Dec16,5,AQU,7,4,Mast Step,Franco/Manuel,121,L,4,6,1.25,9.80,N,2p+driven_5w_into_lane,
01/01/2017,4,Inner,Clear,1310,Fast,1:07.93,1:12.64,11Dec16,1,AQU,6,5,Steady Heat,Davis/Dylan,121,L,5,7,23.5,14.40,N,saved_ground+no_bids,
01/01/2017,4,Inner,Clear,1310,Fast,1:07.93,1:12.64,FR,FR,FR,FR,3,Carro de Oro,Simpson/Trevor,121,L,3,8,Last,79.50,N,sluggsh_st+ask_on_back,
01/01/2017,5,Inner,Clear,1310,Fast,1:07.93,1:11.20,25Nov16,6,AQU,1,1,Bustin It,Franco/Manuel,120,Lf,2,1,8.25,1.05,Y,cut_corner+_went_clear,
01/01/2017,5,Inner,Clear,1310,Fast,1:07.93,1:11.20,23Nov16,10,PEN,4,5,Police Escort,Gallardo/Antonio,118,Lbf,5,2,2.5,3.15,N,chased_2p+_ran_on,
01/01/2017,5,Inner,Clear,1310,Fast,1:07.93,1:11.20,17Dec16,7,AQU,6,1A,Kenyan,Cancel/Eric,120,Lb,9,3,0.75,1.05,Y,6w_upper+_belatedly,
01/01/2017,5,Inner,Clear,1310,Fast,1:07.93,1:11.20,12Dec16,3,PRX,4,6,Zen Papa,Arroyo/Angel,118,Lb,6,4,Neck,5.10,N,chased_3w+_weakened,
01/01/2017,5,Inner,Clear,1310,Fast,1:07.93,1:11.20,5Nov16,7,FL,6,4,The Schwam,Carmouche/Kendrick,118,Lf,4,5,1.5,8.10,N,chased_2p+_weakened,
01/01/2017,5,Inner,Clear,1310,Fast,1:07.93,1:11.20,27Nov16,3,AQU,4,7,Legend Keeper,Ortiz/Jr./Irad,118,Lf,7,6,4.75,8.70,N,4w_upper+_no_response,
01/01/2017,5,Inner,Clear,1310,Fast,1:07.93,1:11.20,27Nov16,3,AQU,5,3,Il Fratello,Davis/Dylan,118,L,3,7,2.25,46.25,N,2-3w_pursuit+_tired,
01/01/2017,5,Inner,Clear,1310,Fast,1:07.93,1:11.20,14Dec16,5,AQU,4,8,Tree Shaker,Maragh/Rajiv,118,L,8,8,3.25,21.70,N,lunged_st+_no_impact,
01/01/2017,5,Inner,Clear,1310,Fast,1:07.93,1:11.20,15Jul16,8,BEL,9,2,Bossmon,Martinez/Joey,110,Lb,1,9,Last,37.50,N,4-5w_upper+_no_impact,
01/01/2017,6,Inner,Clear,1830,Fast,1:38.92,1:45.90,7Dec16,7,AQU,3,8,Dream On,Gallardo/Antonio,121,L,8,1,1,3.60,N,3w_turns+held_well_lte,
01/01/2017,6,Inner,Clear,1830,Fast,1:38.92,1:45.90,7Dec16,7,AQU,4,9,Andesine,Ortiz/Jr./Irad,121,L,9,2,2.25,4.20,N,3w_2nd+4-5w_upr+rally,
01/01/2017,6,Inner,Clear,1830,Fast,1:38.92,1:45.90,27Nov16,5,AQU,5,1,Talkn Til Midnight,Velasquez/Cornelio,121,Lb,1,3,2.75,8.30,N,brsh_st+2w_1/2+6w_1/8,
01/01/2017,6,Inner,Clear,1830,Fast,1:38.92,1:45.90,7Dec16,5,AQU,3,10,Urbanity,Davis/Dylan,121,L,10,4,Neck,7.70,N,4-3w_1st+2w_&_btwn_2nd,
01/01/2017,6,Inner,Clear,1830,Fast,1:38.92,1:45.90,7Dec16,7,AQU,6,3,Tapa Liath,Arroyo/Angel,121,Lb,3,5,2.5,9.40,N,brsh_st+ins_to_1/4+3w,
01/01/2017,6,Inner,Clear,1830,Fast,1:38.92,1:45.90,7Dec16,7,AQU,2,4,Fire Key,Maragh/Rajiv,121,Lb,4,6,0.5,2.70,Y,stmble_st+ins_vs_duo2d,
01/01/2017,6,Inner,Clear,1830,Fast,1:38.92,1:45.90,9Dec16,6,AQU,4,5,Saratiago,Cancel/Eric,121,Lb,5,7,5.5,64.75,N,chased_2w_no_avail,
01/01/2017,6,Inner,Clear,1830,Fast,1:38.92,1:45.90,7Dec16,7,AQU,5,6,Pride of Saratoga,Carmouche/Kendrick,121,Lb,6,8,2.25,17.60,N,darted_to_rail+no_bids,
01/01/2017,6,Inner,Clear,1830,Fast,1:38.92,1:45.90,28Oct16,6,BEL,6,7,B Three,Franco/Manuel,121,Lb,7,9,Last,13.00,N,reserved_2w+_empty,
01/01/2017,6,Inner,Clear,1830,Fast,1:38.92,1:45.90,25Nov16,9,FL,1,2,Milkyyourway,Davis/Jacqueline,123,L,2,-1,DNF,15.70,N,puled_up_2nd+vanned,
01/01/2017,7,Inner,Clear,1310,Fast,1:07.93,1:14.39,1Dec16,1,AQU,1,4,DQ-Blameiton Brooklyn,Arroyo/Angel,123,Lb,3,1,1.5,0.60,Y,duck_in_after_st+_safe,
01/01/2017,7,Inner,Clear,1310,Fast,1:07.93,1:14.39,29Nov16,6,FL,3,7,Dr Luber's Kiss,Maragh/Rajiv,120,L,6,2,1,7.60,N,bumped_st+_mild_bid,
01/01/2017,7,Inner,Clear,1310,Fast,1:07.93,1:14.39,10Dec16,9,AQU,5,6,House of Friends,Diaz/Jr./Hector,110,L,5,3,Head,8.70,N,bumped_st+_wknd_late,
01/01/2017,7,Inner,Clear,1310,Fast,1:07.93,1:14.39,29Nov16,6,FL,6,5,Alerta,Simpson/Trevor,120,Lbf,4,4,1.25,61.50,N,broke_out_st+_wknd_lte,
01/01/2017,7,Inner,Clear,1310,Fast,1:07.93,1:14.39,8Dec16,8,AQU,1,3,Playthatfunnymusic,Martinez/Joey,113,Lf,2,5,2.5,7.40,N,bumped_after_start,
01/01/2017,7,Inner,Clear,1310,Fast,1:07.93,1:14.39,10Dec16,9,AQU,7,9,Bear Clause,Mendez/Kevin,113,Lb,8,6,3.75,72.50,N,5w_pursuit+_mild_bid,
01/01/2017,7,Inner,Clear,1310,Fast,1:07.93,1:14.39,4Dec16,1,PRX,2,2,Social Rebellion,Carmouche/Kendrick,120,L,1,7,1.25,26.25,N,bumped_after_start,
01/01/2017,7,Inner,Clear,1310,Fast,1:07.93,1:14.39,1Dec16,9,AQU,5,8,Lotta Gold,Garcia/Alan,120,Lbf,7,8,Last,4.60,N,overland+_tired,
01/01/2017,8,Inner,Clear,1310,Fast,1:07.93,1:11.21,26Nov16,7,AQU,6,8,Big Zip,Ortiz/Jr./Irad,118,Lb,8,1,3,2.80,N,3w_vs_duo_trn+ask_3/16,
01/01/2017,8,Inner,Clear,1310,Fast,1:07.93,1:11.21,1Dec16,8,AQU,3,2,Celtic Chaos,Cancel/Eric,118,Lb,2,2,1.75,7.00,N,strong_run_3/8plwire,
01/01/2017,8,Inner,Clear,1310,Fast,1:07.93,1:11.21,1Dec16,8,AQU,1,3,John's Island,Franco/Manuel,120,Lb,3,3,2.75,4.20,N,ins_&_snug_left+6w_upr,
01/01/2017,8,Inner,Clear,1310,Fast,1:07.93,1:11.21,27Jun16,8,FL,3,1,Championofthenile,Velasquez/Cornelio,118,L,1,4,2.25,2.20,Y,bobble_st+rail_vs_duo,
01/01/2017,8,Inner,Clear,1310,Fast,1:07.93,1:11.21,1Dec16,8,AQU,2,5,True Bet,Maragh/Rajiv,118,Lb,5,5,0.75,7.00,N,2p_&_btwn_foes_turn,
01/01/2017,8,Inner,Clear,1310,Fast,1:07.93,1:11.21,27Oct16,6,BEL,3,9,Nobody Move,Gallardo/Antonio,118,Lb,9,6,0.75,8.50,N,2p+5p_3/16+bled,
01/01/2017,8,Inner,Clear,1310,Fast,1:07.93,1:11.21,9Jun16,6,BEL,13,6,Giantinthemoonlite,Arroyo/Angel,118,Lb,6,7,Nose,26.00,N,to_rail_7/16+4w_into,
01/01/2017,8,Inner,Clear,1310,Fast,1:07.93,1:11.21,1Dec16,8,AQU,6,7,Frisky Warrior,Davis/Dylan,118,Lbf,7,8,4.5,46.25,N,3w_1/2+6w_1/8+no_bids,
01/01/2017,8,Inner,Clear,1310,Fast,1:07.93,1:11.21,17Dec16,5,PRX,4,4,Dark Roast,Garcia/Alan,118,Lb,4,9,Last,58.00,N,chased_2p+_no_factor,
01/01/2017,9,Inner,Clear,1310,Fast,1:07.93,1:13.77,7Dec16,8,AQU,2,7,Katie Ice,Gallardo/Antonio,121,Lf,7,1,5.25,3.85,N,4w_upper+_drew_clear,
01/01/2017,9,Inner,Clear,1310,Fast,1:07.93,1:13.77,1Aug16,3,SAR,9,8,Melodramatic Miss,Ortiz/Jr./Irad,121,L,8,2,1.75,2.25,N,3w_upper+_led+_ran_on,
01/01/2017,9,Inner,Clear,1310,Fast,1:07.93,1:13.77,14Dec16,3,AQU,6,9,Splash of Sass,Davis/Jacqueline,121,Lb,9,3,5.5,20.50,N,6w_upper+_improved,
01/01/2017,9,Inner,Clear,1310,Fast,1:07.93,1:13.77,7Dec16,8,AQU,3,4,Champagne Therapy,Franco/Manuel,121,Lb,4,4,Neck,6.00,N,chased_3w+_weakened,
01/01/2017,9,Inner,Clear,1310,Fast,1:07.93,1:13.77,7Dec16,8,AQU,8,6,Bust,Davis/Dylan,121,Lb,6,5,Neck,13.60,N,dueled_3-2w+_tired,
01/01/2017,9,Inner,Clear,1310,Fast,1:07.93,1:13.77,7Dec16,8,AQU,6,1,Boss Lady Platinum,Maragh/Rajiv,121,L,1,6,2.25,12.60,N,5w_upper+_no_impact,
01/01/2017,9,Inner,Clear,1310,Fast,1:07.93,1:13.77,24Nov16,2,AQU,3,3,Chocolate Smoothie,Arroyo/Angel,121,L,3,7,2.75,2.10,Y,6w_upper+_tired,
01/01/2017,9,Inner,Clear,1310,Fast,1:07.93,1:13.77,30Jul15,10,SAR,3,5,Offlee Good,Ayala/Addiel,114,L,5,8,Nose,54.25,N,dueled_ins+_faltered,
01/01/2017,9,Inner,Clear,1310,Fast,1:07.93,1:13.77,7Dec16,8,AQU,4,2,Eponymous,Simpson/Trevor,121,Lab,2,9,Last,70.25,N,chased_3-4w+_trailed,
02/01/2017,1,Inner,Showery,1310,Fast,1:07.93,1:16.73,20Dec16,1,PRX,2,1,Ice Tea,Gallardo/Antonio,120,Lf,1,1,3.75,1.20,Y,pace_2p+_kicked_clear,
02/01/2017,1,Inner,Showery,1310,Fast,1:07.93,1:16.73,2Dec16,4,AQU,8,8,Magic Holiday,Franco/Manuel,120,Lb,7,2,2.25,3.70,N,bump_break+3w_turn,
02/01/2017,1,Inner,Showery,1310,Fast,1:07.93,1:16.73,9Dec16,8,AQU,6,4,Radial Flyer,Fragoso/Pablo,120,Lb,4,3,3,15.10,N,3_wide+_prompt_winner,
02/01/2017,1,Inner,Showery,1310,Fast,1:07.93,1:16.73,2Dec16,4,AQU,5,2,New Road,Mendez/Kevin,113,L,2,4,6.75,11.20,N,2w_&_btwn_foes_turn,
02/01/2017,1,Inner,Showery,1310,Fast,1:07.93,1:16.73,2Dec16,4,AQU,6,3,Dream Player,Maragh/Rajiv,120,Lb,3,5,2.75,17.50,N,zig-zag_break+inside,
02/01/2017,1,Inner,Showery,1310,Fast,1:07.93,1:16.73,20Aug16,7,SAR,10,6,Goatzingis,Diaz/Jr./Hector,110,Lf,6,6,2,2.30,N,stumble+bump_btwn_brk,
02/01/2017,1,Inner,Showery,1310,Fast,1:07.93,1:16.73,9Dec16,8,AQU,4,5,Guyana in Motion,Simpson/Trevor,120,L,5,7,Last,29.25,N,bumped_start+_4w_turn,
02/01/2017,2,Inner,Showery,1760,Fast,1:35.79,1:42.74,27Nov16,9,CD,7,2,Dogtown,Carmouche/Kendrick,120,Lb,2,1,8,4.20,N,in_hand_ins+_drew_clr,
02/01/2017,2,Inner,Showery,1760,Fast,1:35.79,1:42.74,13Dec16,6,PRX,6,1,Shot Gun Red,Gallardo/Antonio,123,Lbf,1,2,2.75,6.70,N,chased_ins+_ran_on,
02/01/2017,2,Inner,Showery,1760,Fast,1:35.79,1:42.74,13Dec16,6,PRX,4,3,Tipit,Ortiz/Jose,120,Lb,3,3,Neck,1.95,N,3w_upper+_weakened,
02/01/2017,2,Inner,Showery,1760,Fast,1:35.79,1:42.74,17Dec16,2,AQU,5,6,Stormin Stephen,Maragh/Rajiv,120,L,6,4,0.75,13.40,N,2-3w_uppr+_by_tired,
02/01/2017,2,Inner,Showery,1760,Fast,1:35.79,1:42.74,16Dec16,2,AQU,7,5,I Win,Simpson/Trevor,120,L,5,5,3.5,32.00,N,4-3w_1st_turn+_wknd,
02/01/2017,2,Inner,Showery,1760,Fast,1:35.79,1:42.74,1Dec16,9,AQU,4,7,Kid Friendly,Arroyo/Angel,120,Lbf,7,6,5,10.30,N,5w_upper+_no_impact,
02/01/2017,2,Inner,Showery,1760,Fast,1:35.79,1:42.74,9Dec16,5,AQU,6,4,Just Afleet,Franco/Manuel,120,Lbf,4,7,Last,1.90,Y,chased_2p+_tired,
02/01/2017,3,Inner,Showery,1310,Fast,1:07.93,1:14.02,2Dec16,8,AQU,2,1,Kalabaka,Franco/Manuel,120,L,1,1,5.25,1.40,Y,ease_back_1/2+handily,
02/01/2017,3,Inner,Showery,1310,Fast,1:07.93,1:14.02,4Dec16,2,AQU,2,6,Jet Majesty,Arroyo/Angel,118,Lb,6,2,2.75,3.85,N,sharp_brk+2w+no_match,
02/01/2017,3,Inner,Showery,1310,Fast,1:07.93,1:14.02,1May16,4,BEL,4,3,Myfourchix,Carmouche/Kendrick,118,Lb,3,3,1,5.30,N,2w+4w_into_lane+outkck,
02/01/2017,3,Inner,Showery,1310,Fast,1:07.93,1:14.02,2Dec16,8,AQU,4,4,Catsadiva,Ortiz/Jose,120,L,4,4,6.75,2.95,N,inside_half+2w+empty,
02/01/2017,3,Inner,Showery,1310,Fast,1:07.93,1:14.02,11Nov16,8,WO,7,5,Old Valyria,Ortiz/Jr./Irad,118,L,5,5,Nose,6.00,N,pace_inside+_faltered,
02/01/2017,3,Inner,Showery,1310,Fast,1:07.93,1:14.02,27Nov16,7,AQU,6,2,Spa Town Parade,Davis/Jacqueline,118,L,2,6,Last,55.75,N,sluggish+2p_1/2+4w_upr,
02/01/2017,4,Inner,Showery,1830,Fast,1:38.92,1:50.11,4Dec16,6,AQU,2,7,Dublin Girl,Carmouche/Kendrick,120,L,7,1,4,1.60,Y,3w_upper+_edged_clear,
02/01/2017,4,Inner,Showery,1830,Fast,1:38.92,1:50.11,4Dec16,6,AQU,4,2,Quick On the Draw,Luzzi/Michael,120,L,2,2,2.5,19.70,N,dueled_2p+_ran_on,
02/01/2017,4,Inner,Showery,1830,Fast,1:38.92,1:50.11,FR,FR,FR,FR,1,Maple Mo,Ortiz/Jose,120,L,1,3,6.75,2.60,N,duel_ins+_best_of_rest,
02/01/2017,4,Inner,Showery,1830,Fast,1:38.92,1:50.11,25Nov16,2,AQU,5,6,Summer Scuffle,Maragh/Rajiv,120,L,6,4,4.75,5.80,N,3w_upper+_weakened,
02/01/2017,4,Inner,Showery,1830,Fast,1:38.92,1:50.11,11Dec16,4,AQU,3,8,Majestic Mac,Davis/Dylan,120,--,8,5,7.5,5.80,N,2-3w_pursuit+_tired,
02/01/2017,4,Inner,Showery,1830,Fast,1:38.92,1:50.11,3Dec16,9,AQU,4,4,Emiliana's Hope,Arroyo/Angel,120,L,4,6,Last,21.50,N,bumped_st+_no_impact,
02/01/2017,4,Inner,Showery,1830,Fast,1:38.92,1:50.11,7Dec16,3,AQU,2,5,Robin's Destiny,Ortiz/Jr./Irad,120,L,5,-1,DNF,6.00,N,5w_uppr+_eased_stretch,
02/01/2017,4,Inner,Showery,1830,Fast,1:38.92,1:50.11,26Oct16,2,GPW,7,3,Lady Allyn,Simpson/Trevor,120,Lf,3,-1,DNF,80.75,N,brief_speed_3w+_eased,
02/01/2017,5,Inner,Showery,1760,Good,1:35.79,1:42.87,18Nov16,1,AQU,2,3,Instant Replay,Ortiz/Jr./Irad,118,Lbf,2,1,3,1.50,Y,ins+traffic_1/43/16pl,
02/01/2017,5,Inner,Showery,1760,Good,1:35.79,1:42.87,11Dec16,5,AQU,3,1,Shadow Rider,Ortiz/Jose,118,Lb,1,2,2.25,2.45,N,at/near_2p+rallied_plc,
02/01/2017,5,Inner,Showery,1760,Good,1:35.79,1:42.87,2Dec16,1,AQU,4,6,Prime Time Man,Franco/Manuel,118,L,5,3,0.5,4.20,N,3w_far_turn+_mildly,
02/01/2017,5,Inner,Showery,1760,Good,1:35.79,1:42.87,30Nov16,2,FL,3,7,Stone Crab,Carmouche/Kendrick,118,L,6,4,3.25,10.70,N,2p+ask_3/8+bid_1/41/8,
02/01/2017,5,Inner,Showery,1760,Good,1:35.79,1:42.87,7Dec16,2,AQU,5,5,Mid Ocean,Gallardo/Antonio,120,Lb,4,5,1.25,5.60,N,ins_6F+6w_1/8+no_bids,
02/01/2017,5,Inner,Showery,1760,Good,1:35.79,1:42.87,14Dec16,5,AQU,8,4,Gym Too,Gryder/Aaron,118,Lb,3,6,3.5,29.25,N,rail+ins_duo_3/161/8,
02/01/2017,5,Inner,Showery,1760,Good,1:35.79,1:42.87,13Nov16,5,AQU,9,8,Cody's Notes,Davis/Dylan,118,L,7,7,Last,21.10,N,3w_both_turns+_folded,
02/01/2017,6,Inner,Showery,1310,(Sealed),1:07.93,1:14.56,17Dec16,5,AQU,7,9,Chelios,Maragh/Rajiv,118,L,9,1,5.25,4.60,N,6w_upper+_going_away,
02/01/2017,6,Inner,Showery,1310,(Sealed),1:07.93,1:14.56,18Dec16,2,AQU,7,6,Lyrical Miracle,Cancel/Eric,118,Lb,6,2,1,30.00,N,2-3w_upper+_belatedly,
02/01/2017,6,Inner,Showery,1310,(Sealed),1:07.93,1:14.56,16Oct16,5,BEL,6,4,Pinstripe,Franco/Manuel,118,Lb,4,3,Nose,7.60,N,4w_uppr+led+_wknd_late,
02/01/2017,6,Inner,Showery,1310,(Sealed),1:07.93,1:14.56,9Dec16,3,AQU,3,8,Sing the Dream,Garcia/Alan,118,Lbf,8,4,1.25,14.90,N,7w_uppr+_by_tired_foes,
02/01/2017,6,Inner,Showery,1310,(Sealed),1:07.93,1:14.56,23Nov16,6,AQU,2,12,Attractive Ride,Davis/Jacqueline,118,Lf,12,5,0.5,5.80,N,8w_upper+_improved,
02/01/2017,6,Inner,Showery,1310,(Sealed),1:07.93,1:14.56,30Nov16,7,FL,4,11,Kowboy Boots,Carmouche/Kendrick,118,Lbf,11,6,0.75,13.50,N,5w_uppr+_no_response,
02/01/2017,6,Inner,Showery,1310,(Sealed),1:07.93,1:14.56,16Nov16,2,FL,1,2,Mighty Zealous,Luzzi/Michael,118,Lbf,2,7,2.5,4.60,N,3-2w_upper+_flattened,
02/01/2017,6,Inner,Showery,1310,(Sealed),1:07.93,1:14.56,23Nov16,6,AQU,4,5,Beach Hut,Arroyo/Angel,118,Lbf,5,8,6.5,2.55,Y,dueled_ins+_faltered,
02/01/2017,6,Inner,Showery,1310,(Sealed),1:07.93,1:14.56,9Dec16,3,AQU,5,10,Brolic,Ayala/Addiel,111,Lbf,10,9,3,36.00,N,chased_3-4w+_no_impact,
02/01/2017,6,Inner,Showery,1310,(Sealed),1:07.93,1:14.56,2Aug16,5,FL,7,3,Ganador,Fragoso/Pablo,120,Lb,3,10,2,20.30,N,chased_inside+_folded,
02/01/2017,6,Inner,Showery,1310,(Sealed),1:07.93,1:14.56,14Dec16,5,AQU,10,7,Two Times Book,Martinez/Joey,111,Lb,7,11,Last,47.25,N,dueled_2p+_gave_way,
02/01/2017,6,Inner,Showery,1310,(Sealed),1:07.93,1:14.56,23Nov16,6,AQU,10,1,Distorted Dream,Camacho/Jr./Samuel,118,Lb,1,-1,DNF,28.25,N,stumble_st+_lost_rider,
02/01/2017,7,Inner,Showery,1310,(Sealed),1:07.93,1:14.24,20Oct16,4,FL,1,1,Special Dividend,Carmouche/Kendrick,124,Lbf,6,1,1,10.10,N,spar_2p+held_well_late,
02/01/2017,7,Inner,Showery,1310,(Sealed),1:07.93,1:14.24,28Nov16,9,FL,1,11,Bee Noteworthy,Maragh/Rajiv,124,Lbf,11,2,9.5,10.80,N,3w+chase_duel+rally,
02/01/2017,7,Inner,Showery,1310,(Sealed),1:07.93,1:14.24,30May16,2,BEL,5,12,Wisdom of Oz,Franco/Manuel,122,Lbf,12,3,2.25,14.70,N,2p_1/2+6p_1/8+got_show,
02/01/2017,7,Inner,Showery,1310,(Sealed),1:07.93,1:14.24,18Mar16,6,AQU,1,4,Candy Counter,Arroyo/Angel,122,Lb,3,4,0.5,32.75,N,2p+drive_turn+_outkick,
02/01/2017,7,Inner,Showery,1310,(Sealed),1:07.93,1:14.24,7Dec16,5,AQU,7,9,Arietta,Velasquez/Cornelio,122,Lb,9,5,Head,9.30,N,2p+tip_3p_5/16+5p_uppr,
02/01/2017,7,Inner,Showery,1310,(Sealed),1:07.93,1:14.24,7Dec16,5,AQU,2,3,Five Star Rampage,Gryder/Aaron,122,L,2,6,2.25,4.10,N,saved_ground+no_rally,
02/01/2017,7,Inner,Showery,1310,(Sealed),1:07.93,1:14.24,7Dec16,5,AQU,4,5,Frostie Anne,Ortiz/Jose,122,L,4,7,Nose,3.65,Y,to_ins_1/2+duel+tired,
02/01/2017,7,Inner,Showery,1310,(Sealed),1:07.93,1:14.24,7Dec16,7,AQU,9,8,Storm Cell,Gallardo/Antonio,122,L,8,8,2.5,4.80,N,2p_1/2+6w+lug_in_upper,
02/01/2017,7,Inner,Showery,1310,(Sealed),1:07.93,1:14.24,17Nov16,3,AQU,1,10,Kiss the Flag,Garcia/Alan,122,L,10,9,1.25,32.50,N,4w_on_turn+_no_bids,
02/01/2017,7,Inner,Showery,1310,(Sealed),1:07.93,1:14.24,28Nov16,9,FL,3,2,Roman Reign,Davis/Dylan,122,Lb,1,10,5,18.20,N,rode_rail_no_avail,
02/01/2017,7,Inner,Showery,1310,(Sealed),1:07.93,1:14.24,28Jan16,3,AQU,2,7,Head Shrinker,Luzzi/Michael,122,Lbf,7,11,2.5,7.60,N,3w_3/8+_tired,
02/01/2017,7,Inner,Showery,1310,(Sealed),1:07.93,1:14.24,26Mar16,1,AQU,3,6,His Girl Friday,Davis/Jacqueline,122,bf,5,12,Last,19.90,N,2p_&_btwn_foes_turn,
02/01/2017,8,Inner,Showery,1830,(Sealed),1:38.92,1:46.17,19Nov16,4,LRL,1,6,El Areeb,McCarthy/Trevor,120,Lbf,6,1,11.25,2.80,N,tracked_2p+_went_clear,
02/01/2017,8,Inner,Showery,1830,(Sealed),1:38.92,1:46.17,10Dec16,9,LRL,2,1,Bonus Points,Franco/Manuel,116,L,1,2,0.5,14.60,N,bobbled_st+_up_for_2nd,
